breed,url_ficha,temperament,size,activity_level,grooming,coat_length,url_imagen,descripcion
Birman,https://tica.org/breed/birman/,playful,medium-to-large,moderate,low,short,https://tica.org/wp-content/uploads/2023/07/Birman-Head-Shot.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
Bombay,https://tica.org/breed/bombay/,affectionate,medium,low,low,long,https://tica.org/wp-content/uploads/2023/07/Bombay-Head-Shot.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
British Longhair,https://tica.org/breed/british-longhair/,gentle,medium-to-large,low,low,short,https://tica.org/wp-content/uploads/2023/07/British-Longhair-Head-Shot.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
British Shorthair,https://tica.org/breed/british-shorthair/,gentle,medium-to-large,low,low,short,https://tica.org/wp-content/uploads/2023/07/British-Shorthair-Head-Shot.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
Burmese,https://tica.org/breed/burmese/,affectionate,medium,variable,high,short,https://tica.org/wp-content/uploads/2023/07/Burmese-Head-Shot.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
Burmilla,https://tica.org/breed/burmilla/,playful,medium,variable,low,long,https://tica.org/wp-content/uploads/2018/08/Burmilla-Head-Shot.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
Burmilla Longhair,https://tica.org/breed/burmilla-longhair/,playful,medium,variable,moderate,short,https://tica.org/wp-content/uploads/2018/08/Burmilla-Longhair-Full-Body.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
Chartreux,https://tica.org/breed/chartreux/,gentle,large,low,low,short,https://tica.org/wp-content/uploads/2018/08/Chartreux-Full-Body.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
Chausie,https://tica.org/breed/chausie/,affectionate,large,high,low,short,https://tica.org/wp-content/uploads/2023/07/Chausie-Head-Shot.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
Cherubim,https://tica.org/breed/cherubim/,affectionate,large,moderate,high,long,https://tica.org/wp-content/uploads/2025/05/Cherubim-breedpic.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
Cornish Rex,https://tica.org/breed/cornish-rex/,playful,medium,variable,low,long,https://tica.org/wp-content/uploads/2023/07/Cornish-Rex-Head-Shot.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
Cymric,https://tica.org/breed/cymric/,affectionate,medium,variable,low,short,https://tica.org/wp-content/uploads/2023/07/Cymric-Head-Shot.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
Cymric Tailed,https://tica.org/breed/cymric-tailed/,affectionate,medium,variable,low,short,https://tica.org/wp-content/uploads/2026/05/GaryGalavant_CymricTrailed.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
Devon Rex,https://tica.org/breed/devon-rex/,playful,medium,moderate,low,short,https://tica.org/wp-content/uploads/2023/07/Devon-Rex-Head-Shot.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
